gpsTime, uid, latitude, longitude, altitude, rssi
0000-01-02 12:59:44.000, 1435706f, null, null, null, {}
0000-01-01 14:33:04.000, 1435706f, null, null, null, {Port 1: -57}
0000-01-01 14:34:16.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -57}
0000-01-01 14:34:18.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -56}
0000-01-02 12:59:44.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -56}
0000-01-01 14:33:08.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -56, Port 2: -64}
0000-01-01 14:34:20.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -56, Port 2: -63}
0000-01-01 14:34:22.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -57, Port 2: -60}
0000-01-01 14:34:24.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -58, Port 2: -61}
0000-01-01 14:34:26.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -58, Port 2: -60}
0000-01-01 14:34:28.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -59, Port 2: -65}
0000-01-01 14:34:30.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -59, Port 2: -62}
0000-01-01 14:34:32.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -61}
0000-01-01 14:34:34.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -57, Port 2: -63}
0000-01-01 14:34:36.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -60}
0000-01-01 14:34:38.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -63}
0000-01-01 14:34:40.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -57, Port 2: -64}
0000-01-01 14:34:42.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -63}
